(ompn) nightless@nightless-computer:~/Desktop/ompn$ ./tune_task_compile.sh 
Running study for task: wsws_static_symbolic
No study file found. Starting a new study.
[I 2025-05-23 20:40:20,746] A new study created in memory with name: no-name-3485e4fb-dea6-4972-9fe7-44e1a7e07d53
Task: wsws_static_symbolic
State size: 1087
Action size: 17
Max segments: 4
Skills: 2
[I 2025-05-23 20:44:09,558] Trial 0 finished with value: 0.37148 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 0 with value: 0.37148.
[I 2025-05-24 13:33:03,120] Trial 17 finished with value: 0.40336 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 13:34:13,044] Trial 18 finished with value: 0.48478000000000004 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 13:40:23,959] Trial 19 finished with value: 0.37616 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 14:35:19,689] Trial 20 finished with value: 0.66878 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
[I 2025-05-24 14:41:29,256] Trial 21 finished with value: 0.44122 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 14:47:40,716] Trial 22 finished with value: 1.0 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 14:53:51,149] Trial 23 finished with value: 0.52428 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 15:00:00,914] Trial 24 finished with value: 0.78012 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 15:06:09,142] Trial 25 finished with value: 0.4786 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 15:16:18,557] Trial 26 finished with value: 0.5776000000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 15:17:02,852] Trial 27 finished with value: 0.3224 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 1.0, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 15:50:02,534] Trial 28 finished with value: 0.66838 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:33:47,327] Trial 29 finished with value: 0.44414 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:34:31,041] Trial 30 finished with value: 0.51634 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:40:41,338] Trial 31 finished with value: 0.43148000000000003 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:46:52,340] Trial 32 finished with value: 0.8081 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:53:01,931] Trial 33 finished with value: 0.5108400000000001 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:57:04,686] Trial 34 finished with value: 1.0 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 16:59:27,929] Trial 35 finished with value: 0.29692 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 1.0, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 17:00:50,818] Trial 36 finished with value: 0.44414 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 17:07:26,980] Trial 37 finished with value: 0.40766 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 17:09:49,724] Trial 38 finished with value: 0.3492 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 64, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 17:53:32,024] Trial 39 finished with value: 0.42676000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 18:00:09,290] Trial 40 finished with value: 0.72424 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 18:06:20,034] Trial 41 finished with value: 0.66878 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 18:19:38,312] Trial 42 finished with value: 0.66878 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 18:23:40,108] Trial 43 finished with value: 0.9431 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 18:29:51,133] Trial 44 finished with value: 0.94772 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 19:01:39,118] Trial 45 finished with value: 0.66878 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
[I 2025-05-24 19:11:49,304] Trial 46 finished with value: 0.9970400000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 19:24:10,613] Trial 47 finished with value: 0.35278000000000004 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-24 19:34:20,846] Trial 48 finished with value: 0.96368 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 19:44:33,248] Trial 49 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-24 20:07:00,913] Trial 50 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 20:29:30,431] Trial 51 finished with value: 0.9981 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 20:51:57,338] Trial 52 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 21:14:23,609] Trial 53 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 21:36:51,781] Trial 54 finished with value: 0.40602000000000005 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 21:59:15,712] Trial 55 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 22:21:43,041] Trial 56 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 22:45:27,267] Trial 57 finished with value: 0.8479000000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 22:58:19,001] Trial 58 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 23:00:48,269] Trial 59 finished with value: 0.48668000000000006 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 23:24:21,597] Trial 60 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-24 23:46:49,668] Trial 61 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 00:09:16,086] Trial 62 finished with value: 0.35356000000000004 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 00:31:04,117] Trial 63 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 00:53:26,904] Trial 64 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 01:15:55,173] Trial 65 finished with value: 0.9961800000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 01:38:22,611] Trial 66 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 01:39:45,896] Trial 67 finished with value: 0.38646 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.1, 'compile_batch_size': 256, 'compile_beta_z': 0.01, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-25 02:02:15,208] Trial 68 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 02:24:43,750] Trial 69 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 02:47:08,862] Trial 70 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 03:09:27,991] Trial 71 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 04:04:26,484] Trial 72 finished with value: 0.35318 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
[I 2025-05-25 04:26:53,824] Trial 73 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 04:49:22,261] Trial 74 finished with value: 0.47242 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 05:01:31,572] Trial 75 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 05:15:00,619] Trial 76 finished with value: 0.38544000000000006 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.01, 'compile_beta_b': 1.0, 'compile_prior_rate': 15, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 06:09:31,681] Trial 77 finished with value: 0.34878000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
[I 2025-05-25 06:31:48,049] Trial 78 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 06:39:17,827] Trial 79 finished with value: 0.3151 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.001, 'compile_batch_size': 256, 'compile_beta_z': 1.0, 'compile_beta_b': 0.1, 'compile_prior_rate': 15, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-25 06:40:27,892] Trial 80 finished with value: 0.66878 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.1, 'compile_prior_rate': 3, 'hidden_size': 128}. Best is trial 10 with value: 1.0.
[I 2025-05-25 07:02:57,716] Trial 81 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 07:25:25,858] Trial 82 finished with value: 0.45146000000000003 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 07:47:51,798] Trial 83 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 08:10:08,480] Trial 84 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 08:32:36,880] Trial 85 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 08:55:03,725] Trial 86 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 09:17:32,814] Trial 87 finished with value: 0.99724 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 09:30:16,603] Trial 88 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 09:42:55,822] Trial 89 finished with value: 0.33608000000000005 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 64, 'compile_beta_z': 0.5, 'compile_beta_b': 1.0, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 10:05:23,233] Trial 90 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 10:27:52,827] Trial 91 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 10:31:52,517] Trial 92 finished with value: 0.3719 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.1, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-25 10:45:24,068] Trial 93 finished with value: 0.3725200000000001 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 0.5, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 11:07:53,046] Trial 94 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 11:30:21,010] Trial 95 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 11:52:09,045] Trial 96 finished with value: 0.37006 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 12:14:37,993] Trial 97 finished with value: 0.6717000000000001 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 12:18:40,201] Trial 98 finished with value: 0.34932 and parameters: {'compile_train_steps': 3000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.1, 'compile_beta_b': 1.0, 'compile_prior_rate': 10, 'hidden_size': 64}. Best is trial 10 with value: 1.0.
[I 2025-05-25 13:02:52,225] Trial 99 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 13:36:17,347] Trial 100 finished with value: 0.72302 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 14:19:59,419] Trial 101 finished with value: 1.0 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 256, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 14:42:26,074] Trial 102 finished with value: 0.4006 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 15:04:44,034] Trial 103 finished with value: 0.35278 and parameters: {'compile_train_steps': 5000, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 1.0, 'compile_beta_b': 0.01, 'compile_prior_rate': 10, 'hidden_size': 256}. Best is trial 10 with value: 1.0.
[I 2025-05-25 15:10:24,124] Trial 104 finished with value: 0.30896 and parameters: {'compile_train_steps': 500, 'compile_lr': 0.0001, 'compile_batch_size': 128, 'compile_beta_z': 0.5, 'compile_beta_b': 0.01, 'compile_prior_rate': 15, 'hidden_size': 512}. Best is trial 10 with value: 1.0.
